name,city,country,iata,icao,x,y,elevation
Fukuoka Airport,Fukuoka,Japan,FUK,RJFF,130.4510040283203,33.585899353027344,32
New Tanegashima Airport,Tanegashima,Japan,TNE,RJFG,130.990997314,30.605100631699997,768
Kagoshima Airport,Kagoshima,Japan,KOJ,RJFK,130.718994140625,31.80340003967285,906
Miyazaki Airport,Miyazaki,Japan,KMI,RJFM,131.449005127,31.877199173,20
Nyutabaru Airport,Nyutabaru,Japan,\N,RJFN,131.4510040283203,32.08359909057617,259
Oita Airport,Oita,Japan,OIT,RJFO,131.736999512,33.479400634799994,19
Kitakyūshū Airport,Kitakyushu,Japan,KKJ,RJFR,131.035003662,33.8459014893,21
Kumamoto Airport,Kumamoto,Japan,KMJ,RJFT,130.85499572753906,32.83729934692383,642
Nagasaki Airport,Nagasaki,Japan,NGS,RJFU,129.914001465,32.916900634799994,15
Kanoya Airport,Kanoya,Japan,\N,RJFY,130.84500122070312,31.367599487304688,214
Tsuiki Air Field,Tsuiki,Japan,\N,RJFZ,131.039993286,33.6850013733,55
Amami Airport,Amami,Japan,ASJ,RJKA,129.71299743652344,28.430599212646484,27
Okierabu Airport,Okierabu,Japan,\N,RJKB,128.701004028,27.4255008698,101
Tokunoshima Airport,Tokunoshima,Japan,TKN,RJKN,128.88099670410156,27.83639907836914,17
Fukui Airport,Fukui,Japan,\N,RJNF,136.223999023,36.1427993774,19
Gifu Airport,Gifu,Japan,\N,RJNG,136.8699951171875,35.394100189208984,128
Hamamatsu Airport,Hamamatsu,Japan,\N,RJNH,137.7030029296875,34.75019836425781,150
Komatsu Airport,Kanazawa,Japan,KMQ,RJNK,136.40699768066406,36.39459991455078,36
Oki Airport,Oki Island,Japan,OKI,RJNO,133.3249969482422,36.18109893798828,311
Toyama Airport,Toyama,Japan,TOY,RJNT,137.18800354003906,36.64830017089844,95
Shizuhama Airport,Yaizu,Japan,\N,RJNY,138.29800415039062,34.812801361083984,23
Hiroshima Airport,Hiroshima,Japan,HIJ,RJOA,132.919006348,34.4361000061,1088
Okayama Airport,Okayama,Japan,OKJ,RJOB,133.854995728,34.7569007874,806
Izumo Airport,Izumo,Japan,IZO,RJOC,132.88999939,35.4136009216,15
Hofu Airport,Hofu,Japan,\N,RJOF,131.5489959716797,34.034698486328125,7
Miho Yonago Airport,Miho,Japan,YGJ,RJOH,133.23599243164062,35.4921989440918,20
Kōchi Ryōma Airport,Kochi,Japan,KCZ,RJOK,133.669006348,33.5461006165,42
Matsuyama Airport,Matsuyama,Japan,MYJ,RJOM,132.6999969482422,33.82720184326172,25
Osaka International Airport,Osaka,Japan,ITM,RJOO,135.43800354003906,34.785499572753906,50
Tottori Airport,Tottori,Japan,TTJ,RJOR,134.167007446,35.5301017761,65
Tokushima Airport,Tokushima,Japan,TKS,RJOS,134.606994629,34.1328010559,26
Takamatsu Airport,Takamatsu,Japan,TAK,RJOT,134.01600647,34.214199066199996,607
Yao Airport,Osaka,Japan,\N,RJOY,135.60299682617188,34.59629821777344,39
Ozuki Airport,Ozuki,Japan,\N,RJOZ,131.052001953125,34.0452995300293,13
Aomori Airport,Aomori,Japan,AOJ,RJSA,140.6909942626953,40.73469924926758,664
Yamagata Airport,Yamagata,Japan,GAJ,RJSC,140.371002197,38.411899566699994,353
Sado Airport,Sado,Japan,SDS,RJSD,138.414001465,38.0601997375,88
Hachinohe Airport,Hachinoe,Japan,\N,RJSH,141.46600341796875,40.556400299072266,152
Hanamaki Airport,Hanamaki,Japan,HNA,RJSI,141.13499450683594,39.4286003112793,297
Akita Airport,Akita,Japan,AXT,RJSK,140.218994140625,39.6156005859375,313
Misawa Air Base,Misawa,Japan,MSJ,RJSM,141.367996216,40.703201293899994,119
Sendai Airport,Sendai,Japan,SDJ,RJSS,140.917007446,38.1397018433,15
Matsushima Air Base,Matsushima,Japan,\N,RJST,141.220001221,38.4048995972,7
Atsugi Naval Air Facility,Atsugi,Japan,\N,RJTA,139.4499969482422,35.4546012878418,205
Tateyama Airport,Tateyama,Japan,\N,RJTE,139.828995,34.987099,10
Hachijojima Airport,Hachijojima,Japan,HAC,RJTH,139.785995483,33.1150016785,303
Iruma Air Base,Iruma,Japan,\N,RJTJ,139.41099548339844,35.84189987182617,295
Kisarazu Airport,Kisarazu,Japan,\N,RJTK,139.91000366210938,35.39830017089844,10
Shimofusa Airport,Shimofusa,Japan,\N,RJTL,140.01100158691406,35.79890060424805,98
Oshima Airport,Oshima,Japan,OIM,RJTO,139.36000061,34.782001495399996,130
Kastner Army Heliport,Zama,Japan,\N,RJTR,139.393997192,35.5138015747,360
Tokyo Haneda International Airport,Tokyo,Japan,HND,RJTT,139.779999,35.552299,35
Yokota Air Base,Yokota,Japan,OKO,RJTY,139.34800720214844,35.74850082397461,463
Gwangju Airport,Kwangju,South Korea,KWJ,RKJJ,126.808998108,35.1263999939,39
Jeon Ju Airport,Jhunju,South Korea,CHN,RKJU,127.12000274658203,35.87839889526367,96
Yeosu Airport,Yeosu,South Korea,RSU,RKJY,127.61699676513672,34.84230041503906,53
Sokcho Airport,Sokch'o,South Korea,SHO,RKND,128.5989990234375,38.142601013183594,92
Gangneung Airport,Kangnung,South Korea,KAG,RKNN,128.944000244,37.753601074200006,35
Jeju International Airport,Cheju,South Korea,CJU,RKPC,126.49299621582031,33.51129913330078,118
Jinhae Airport,Chinhae,South Korea,\N,RKPE,128.6959991455078,35.14120101928711,8
Gimhae International Airport,Busan,South Korea,PUS,RKPK,128.93800354,35.1795005798,6
Ulsan Airport,Ulsan,South Korea,USN,RKPU,129.352005005,35.59349823,45
A 511 Airport,Pyongtaek,South Korea,\N,RKSG,127.03099822998047,36.96220016479492,51
Seoul Air Base,Seoul East,South Korea,SSN,RKSM,127.11399841308594,37.44580078125,92
Osan Air Base,Osan,South Korea,OSN,RKSO,127.029999,37.090599,38
Gimpo International Airport,Seoul,South Korea,GMP,RKSS,126.791000366,37.5583000183,58
Suwon Airport,Suwon,South Korea,SWU,RKSW,127.00700378417969,37.23939895629883,88
Pohang Airport,Pohang,South Korea,KPO,RKTH,129.419998169,35.9878997803,70
Daegu Airport,Taegu,South Korea,TAE,RKTN,128.658996582,35.894100189199996,116
Yecheon Airport,Yechon,South Korea,YEC,RKTY,128.35499572754,36.631900787354,354
Naha Airport,Okinawa,Japan,OKA,ROAH,127.646003723,26.1958007812,12
Ie Shima Auxiliary Air Base,Iejima,Japan,\N,RODE,127.76490020751953,26.725757598876953,184
Kadena Air Base,Kadena,Japan,DNA,RODN,127.767998,26.3556,143
Ishigaki Airport,Ishigaki,Japan,ISG,ROIG,124.18699646,24.344499588,93
Kumejima Airport,Kumejima,Japan,UEO,ROKJ,126.71399688720703,26.363500595092773,23
Minami-Daito Airport,Minami Daito,Japan,MMD,ROMD,131.263000488,25.8465003967,167
Miyako Airport,Miyako,Japan,MMY,ROMY,125.294998169,24.782800674399997,150
Kitadaito Airport,Kitadaito,Japan,KTD,RORK,131.32699585,25.9447002411,80
Shimojishima Airport,Shimojishima,Japan,SHI,RORS,125.144996643,24.8267002106,54
Tarama Airport,Tarama,Japan,\N,RORT,124.675003052,24.653900146499996,36
Yoron Airport,Yoron,Japan,RNJ,RORY,128.401992798,27.0440006256,52
Yonaguni Airport,Yonaguni Jima,Japan,OGN,ROYN,122.97799682617188,24.466899871826172,70
Ninoy Aquino International Airport,Manila,Philippines,MNL,RPLL,121.019997,14.5086,75
Awang Airport,Cotabato,Philippines,CBO,RPMC,124.20999908447266,7.1652398109436035,189
Cagayan De Oro Airport,Ladag,Philippines,CGY,RPML,124.611,8.41562,601
Pagadian Airport,Pagadian,Philippines,PAG,RPMP,123.461179733,7.83073144787,5
General Santos International Airport,Romblon,Philippines,GES,RPMR,125.096000671,6.05800008774,505
Zamboanga International Airport,Zamboanga,Philippines,ZAM,RPMZ,122.05999755859375,6.922420024871826,33
Loakan Airport,Baguio,Philippines,BAG,RPUB,120.62000274658203,16.375099182128906,4251
Daet Airport,Daet,Philippines,\N,RPUD,122.9800033569336,14.129199981689453,10
Basa Air Base,Floridablanca,Philippines,\N,RPUF,120.49299621582031,14.986499786376953,151
Lingayen Airport,Lingayen,Philippines,\N,RPUG,120.24099731445312,16.034799575805664,7
San Jose Airport,San Jose,Philippines,SJI,RPUH,121.04699707,12.361499786399998,14
Fernando Air Base,Lipa,Philippines,\N,RPUL,121.125,13.954999923706055,1220
Mamburao Airport,Mamburao,Philippines,\N,RPUM,120.6050033569336,13.208100318908691,13
Vigan Airport,Vigan,Philippines,\N,RPUQ,120.35600280761719,17.555299758911133,16
Dr.Juan C. Angara Airport,Baler,Philippines,\N,RPUR,121.5,15.7298002243,108
Bagabag Airport,Bagabag,Philippines,\N,RPUZ,121.25199890136719,16.619199752807617,820
Daniel Z. Romualdez Airport,Tacloban,Philippines,TAC,RPVA,125.027999878,11.2276000977,10
Bacolod-Silay City International Airport,Bacolod,Philippines,BCD,RPVB,123.014999,10.7764,82
Sibulan Airport,Dumaguete,Philippines,DGT,RPVD,123.300003052,9.3337097168,15
Godofredo P. Ramos Airport,Caticlan,Philippines,MPH,RPVE,121.954002,11.9245,7
Guiuan Airport,Guiuan,Philippines,\N,RPVG,125.741996765,11.0354995728,7
Iloilo International Airport,Iloilo,Philippines,ILO,RPVI,122.493358,10.833017,27
Kalibo International Airport,Kalibo,Philippines,KLO,RPVK,122.375999451,11.679400444,14
Puerto Princesa Airport,Puerto Princesa,Philippines,PPS,RPVP,118.75900268554688,9.742119789123535,71
Evelio Javier Airport,San Jose,Philippines,\N,RPVS,121.932998657,10.765999794,23
Comodoro Pierrestegui Airport,Concordia,Argentina,COC,SAAC,-57.9966,-31.2969,112
Gualeguaychu Airport,Gualeguaychu,Argentina,GHU,SAAG,-58.6131,-33.0103,75
Junin Airport,Junin,Argentina,\N,SAAJ,-60.9306,-34.5459,262
General Urquiza Airport,Parana,Argentina,PRA,SAAP,-60.4804,-31.7948,242
Islas Malvinas Airport,Rosario,Argentina,ROS,SAAR,-60.785,-32.9036,85
Sauce Viejo Airport,Santa Fe,Argentina,SFN,SAAV,-60.8117,-31.7117,55
Jorge Newbery Airpark,Buenos Aires,Argentina,AEP,SABE,-58.4156,-34.5592,18
Ingeniero Ambrosio Taravella Airport,Cordoba,Argentina,COR,SACO,-64.2080001831,-31.323600769,1604
Chamical Airport,Gobernador Gordillo,Argentina,\N,SACT,-66.29360198,-30.34530067,1502
San Fernando Airport,San Fernando,Argentina,\N,SADF,-58.5896,-34.4532,10
Mariano Moreno Airport,Jose C. Paz,Argentina,\N,SADJ,-58.7896,-34.5606,105
La Plata Airport,La Plata,Argentina,LPG,SADL,-57.8947,-34.9722,72
Moron Airport,Moron,Argentina,\N,SADM,-58.6428,-34.6763,95
El Palomar Airport,El Palomar,Argentina,\N,SADP,-58.6126,-34.6099,59
Chos Malal Airport,Chosmadal,Argentina,\N,SAHC,-70.2225036621,-37.444698333699996,2788
Dr. Arturo H. Illia Airport,Fuerte Gral Roca,Argentina,\N,SAHR,-67.6204986572,-39.0007019043,852
El Plumerillo Airport,Mendoza,Argentina,MDZ,SAME,-68.7929000854,-32.8316993713,2310
Comodoro D.R. Salomón Airport,Malargue,Argentina,LGS,SAMM,-69.5743026733,-35.493598938,4685
Suboficial Ay Santiago Germano Airport,San Rafael,Argentina,AFA,SAMR,-68.4039,-34.588299,2470
Catamarca Airport,Catamarca,Argentina,CTC,SANC,-65.751701355,-28.5956001282,1522
Vicecomodoro Angel D. La Paz Aragonés Airport,Santiago Del Estero,Argentina,SDE,SANE,-64.3099975586,-27.765556335399996,656
Tinogasta Airport,Tinogasta,Argentina,\N,SANI,-67.5802993774,-28.0377998352,3968
Capitan V A Almonacid Airport,La Rioja,Argentina,IRJ,SANL,-66.7957992554,-29.3815994263,1437
Chilecito Airport,Chilecito,Argentina,\N,SANO,-67.4389038086,-29.2238998413,3099
Teniente Benjamin Matienzo Airport,Tucuman,Argentina,TUC,SANT,-65.104897,-26.8409,1493
Domingo Faustino Sarmiento Airport,San Julian,Argentina,UAQ,SANU,-68.418198,-31.571501,1958
Area De Material Airport,Rio Cuarto,Argentina,RCU,SAOC,-64.2612991333,-33.0850982666,1380
Villa Dolores Airport,Villa Dolores,Argentina,VDR,SAOD,-65.1463012695,-31.9451999664,1847
La Quiaca Airport,Laboulaye,Argentina,\N,SAOL,-65.57749938959999,-22.1506004333,11414
Marcos Juarez Airport,Marcos Juarez,Argentina,\N,SAOM,-62.1578,-32.6836,360
Villa Reynolds Airport,Villa Reynolds,Argentina,\N,SAOR,-65.3873977661,-33.7299003601,1591
Brigadier Mayor D Cesar Raul Ojeda Airport,San Luis,Argentina,LUQ,SAOU,-66.3563995361,-33.2732009888,2328
Corrientes Airport,Corrientes,Argentina,CNQ,SARC,-58.7619,-27.4455,202
Resistencia International Airport,Resistencia,Argentina,RES,SARE,-59.0561,-27.45,173
Formosa Airport,Formosa,Argentina,FMA,SARF,-58.2281,-26.2127,193
Cataratas Del Iguazú International Airport,Iguazu Falls,Argentina,IGR,SARI,-54.473400116,-25.737300872800002,916
Paso De Los Libres Airport,Paso De Los Libres,Argentina,AOL,SARL,-57.1521,-29.6894,230
Monte Caseros Airport,Monte Caseros,Argentina,\N,SARM,-57.6402,-30.2719,170
Libertador Gral D Jose De San Martin Airport,Posadas,Argentina,PSS,SARP,-55.9707,-27.3858,430
Martin Miguel De Guemes International Airport,Salta,Argentina,SLA,SASA,-65.4861984253,-24.856000900299996,4088
Gobernador Horacio Guzman International Airport,Jujuy,Argentina,JUJ,SASJ,-65.0978012085,-24.3927993774,3019
Orán Airport,Oran,Argentina,ORA,SASO,-64.3292007446,-23.1527996063,1171
Laboulaye Airport,La Quiaca,Argentina,\N,SASQ,-63.36230087279999,-34.1353988647,449
El Dorado Airport,El Dorado,Argentina,\N,SATD,-54.5746994019,-26.3974990845,685
Goya Airport,Goya,Argentina,\N,SATG,-59.2189,-29.1058,128
Oberá Airport,Obera,Argentina,\N,SATO,-55.1241989136,-27.5181999207,1125
Reconquista Airport,Reconquista,Argentina,\N,SATR,-59.68,-29.2103,160
Curuzu Cuatia Airport,Curuzu Cuatia,Argentina,\N,SATU,-57.9789,-29.7706,229
El Bolson Airport,El Bolson,Argentina,EHL,SAVB,-71.5323028564,-41.9431991577,1141
General E. Mosconi Airport,Comodoro Rivadavia,Argentina,CRD,SAVC,-67.4655,-45.7853,189
Brigadier Antonio Parodi Airport,Esquel,Argentina,EQS,SAVE,-71.139503479,-42.908000946,2621
Almirante Marco Andres Zar Airport,Trelew,Argentina,REL,SAVT,-65.2703,-43.2105,141
Gobernador Castello Airport,Viedma,Argentina,VDM,SAVV,-63.0004,-40.8692,20
El Tehuelche Airport,Puerto Madryn,Argentina,PMY,SAVY,-65.1027,-42.7592,427
Marambio Base,Marambio Base,Antarctica,\N,SAWB,-56.6307983398,-64.2382965088,760
Puerto Deseado Airport,Puerto Deseado,Argentina,PUD,SAWD,-65.9041,-47.7353,268
Hermes Quijada International Airport,Rio Grande,Argentina,RGA,SAWE,-67.7494,-53.7777,65
Piloto Civil N. Fernández Airport,Rio Gallegos,Argentina,RGL,SAWG,-69.3126,-51.6089,61
Malvinas Argentinas Airport,Ushuaia,Argentina,USH,SAWH,-68.2958,-54.8433,102
Capitan D Daniel Vazquez Airport,San Julian,Argentina,ULA,SAWJ,-67.8026,-49.3068,203
Perito Moreno Airport,Perito Moreno,Argentina,PMQ,SAWP,-70.9786987305,-46.5378990173,1410
Santa Cruz Airport,Santa Cruz,Argentina,RZA,SAWU,-68.5792,-50.0165,364
Comandante Espora Airport,Bahia Blanca,Argentina,BHI,SAZB,-62.1693,-38.725,246
Brigadier D.H.E. Ruiz Airport,Colonel Suarez,Argentina,\N,SAZC,-61.889301,-37.446098,767
Olavarria Airport,Olavarria,Argentina,\N,SAZF,-60.216598510699995,-36.8899993896,551
General Pico Airport,General Pico,Argentina,\N,SAZG,-63.7583007812,-35.6962013245,459
Tres Arroyos Airport,Tres Arroyos,Argentina,\N,SAZH,-60.3297,-38.3869,400
Bolivar Airport,Bolivar,Argentina,\N,SAZI,-61.0764,-36.1866,308
Ástor Piazzola International Airport,Mar Del Plata,Argentina,MDQ,SAZM,-57.5733,-37.9342,72
Presidente Peron Airport,Neuquen,Argentina,NQN,SAZN,-68.15570068359999,-38.9490013123,895
Comodoro Pedro Zanni Airport,Pehuajo,Argentina,\N,SAZP,-61.8576,-35.8446,278
Santa Rosa Airport,Santa Rosa,Argentina,RSA,SAZR,-64.275703,-36.588299,630
San Carlos De Bariloche Airport,San Carlos De Bariloche,Argentina,BRC,SAZS,-71.1575012207,-41.1511993408,2774
Héroes De Malvinas Airport,Tandil,Argentina,TDL,SAZT,-59.2279014587,-37.2374000549,574
Villa Gesell Airport,Villa Gesell,Argentina,VLG,SAZV,-57.0292,-37.2354,32
Cutral-Co Airport,Cutralco,Argentina,\N,SAZW,-69.2646026611,-38.939701080300004,2132
Aviador C. Campos Airport,San Martin Des Andes,Argentina,CPC,SAZY,-71.137298584,-40.0754013062,2569
Conceição do Araguaia Airport,Conceicao Do Araguaia,Brazil,CDJ,SBAA,-49.30149841308594,-8.348349571228027,653
Campo Délio Jardim de Mattos Airport,Rio De Janeiro,Brazil,\N,SBAF,-43.384701,-22.875099,110
Amapá Airport,Amapa,Brazil,\N,SBAM,-50.8582,2.07751,45
Araraquara Airport,Araracuara,Brazil,AQA,SBAQ,-48.1329994202,-21.812000274699997,2334
Santa Maria Airport,Aracaju,Brazil,AJU,SBAR,-37.0703010559,-10.984000206,23
Piloto Osvaldo Marques Dias Airport,Alta Floresta,Brazil,AFL,SBAT,-56.1049995422,-9.8663892746,948
Araçatuba Airport,Aracatuba,Brazil,ARU,SBAU,-50.4247016907,-21.1413002014,1361
Val de Cans/Júlio Cezar Ribeiro International Airport,Belem,Brazil,BEL,SBBE,-48.4762992859,-1.3792500495900002,54
Comandante Gustavo Kraemer Airport,Bage,Brazil,BGX,SBBG,-54.112201690674,-31.39049911499,600
Pampulha - Carlos Drummond de Andrade Airport,Belo Horizonte,Brazil,PLU,SBBH,-43.950599670410156,-19.851200103759766,2589
Bacacheri Airport,Curitiba,Brazil,BFH,SBBI,-49.23199844359999,-25.4050998688,3057
Major Brigadeiro Doorgal Borges Airport,Barbacena,Brazil,\N,SBBQ,-43.76110076904297,-21.267200469970703,3657
Presidente Juscelino Kubistschek International Airport,Brasilia,Brazil,BSB,SBBR,-47.920833587646484,-15.86916732788086,3497
Bauru Airport,Bauru,Brazil,BAU,SBBU,-49.0537986755,-22.3449993134,2025
Atlas Brasil Cantanhede Airport,Boa Vista,Brazil,BVB,SBBV,-60.6922225952,2.84138894081,276
Barra do Garças Airport,Barra Do Garcas,Brazil,\N,SBBW,-52.3889007568,-15.861300468400001,1147
Cascavel Airport,Cascavel,Brazil,CAC,SBCA,-53.500801086399996,-25.0002994537,2473
Cachimbo Airport,Itaituba,Brazil,\N,SBCC,-54.9654006958,-9.33393955231,1762
Tancredo Neves International Airport,Belo Horizonte,Brazil,CNF,SBCF,-43.97194290161133,-19.62444305419922,2715
Campo Grande Airport,Campo Grande,Brazil,CGR,SBCG,-54.6725006104,-20.468700408900002,1833
Serafin Enoss Bertaso Airport,Chapeco,Brazil,XAP,SBCH,-52.656600952148,-27.134199142456,2146
Brig. Lysias Augusto Rodrigues Airport,Carolina,Brazil,CLN,SBCI,-47.45869827270508,-7.32043981552124,565
Diomício Freitas Airport,Criciuma,Brazil,CCM,SBCM,-49.4213905334,-28.7244434357,93
Canoas Air Force Base,Porto Alegre,Brazil,\N,SBCO,-51.144413,-29.945928,26
Bartolomeu Lisandro Airport,Campos,Brazil,CAW,SBCP,-41.301700592,-21.698299408,57
Corumbá International Airport,Corumba,Brazil,CMG,SBCR,-57.6713905334,-19.0119438171,461
Afonso Pena Airport,Curitiba,Brazil,CWB,SBCT,-49.1758003235,-25.5284996033,2988
Caravelas Airport,Caravelas,Brazil,CRQ,SBCV,-39.253101348877,-17.652299880981,36
